Division,match_date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,p_home_implied,p_draw_implied,p_away_implied,pnorm_home_win,pnorm_draw,pnorm_away_win
E0,2024-08-16,Man United,Fulham,1.62,4.36,5.15,0.6172839506172839,0.2293577981651376,0.1941747572815534,0.5930766345661143,0.22036333669658376,0.18656002873730199
E0,2024-08-17,Ipswich,Liverpool,8.28,5.76,1.34,0.12077294685990339,0.1736111111111111,0.7462686567164178,0.11605499621089098,0.16682905705315576,0.7171159467359531
E0,2024-08-17,Arsenal,Wolves,1.18,7.86,15.87,0.8474576271186441,0.1272264631043257,0.06301197227473221,0.816672297164586,0.12260474690257142,0.06072295593284257
E0,2024-08-17,Everton,Brighton,2.67,3.41,2.68,0.37453183520599254,0.29325513196480935,0.3731343283582089,0.3598080246937884,0.28172651786874336,0.3584654574374682
E0,2024-08-17,Newcastle,Southampton,1.35,5.62,8.1,0.7407407407407407,0.17793594306049823,0.1234567901234568,0.7107925801011804,0.17074198988195619,0.11846543001686342
E0,2024-08-17,Nottingham Forest,Bournemouth,2.45,3.49,2.89,0.4081632653061224,0.28653295128939826,0.3460207612456747,0.3921942987350829,0.2753226452438261,0.3324830560210911
E0,2024-08-17,West Ham,Aston Villa,2.44,3.69,2.79,0.4098360655737705,0.2710027100271003,0.35842293906810035,0.3943530871858517,0.26076464301720276,0.3448822697969456
E0,2024-08-18,Brentford,Crystal Palace,2.46,3.44,2.9,0.4065040650406504,0.29069767441860467,0.3448275862068966,0.39010808527944185,0.278972642380066,0.33091927234049207
E0,2024-08-18,Chelsea,Man City,4.05,4.0,1.83,0.2469135802469136,0.25,0.5464480874316939,0.23665195674312597,0.23961010620241502,0.523737937054459
E0,2024-08-19,Leicester,Tottenham,5.01,4.37,1.63,0.1996007984031936,0.22883295194508008,0.6134969325153374,0.191568212440598,0.2196239689536375,0.5888078186057644
E0,2024-08-24,Brighton,Man United,2.5,3.72,2.69,0.4,0.26881720430107525,0.3717472118959108,0.38440676403475754,0.25833787905561656,0.35725535690962595
E0,2024-08-24,Crystal Palace,West Ham,2.17,3.63,3.25,0.4608294930875576,0.27548209366391185,0.3076923076923077,0.44140591384774247,0.26387075290622625,0.29472333324603117
E0,2024-08-24,Fulham,Leicester,1.83,3.73,4.38,0.5464480874316939,0.2680965147453083,0.22831050228310504,0.5239923409250545,0.2570793522500938,0.2189283068248516
E0,2024-08-24,Man City,Ipswich,1.09,12.17,26.97,0.9174311926605504,0.08216926869350863,0.03707823507601039,0.884971588419669,0.07926204037612485,0.035766371204206136
E0,2024-08-24,Southampton,Nottingham Forest,2.57,3.32,2.84,0.38910505836575876,0.30120481927710846,0.35211267605633806,0.37326999208234357,0.2889469517022961,0.33778305621536026
E0,2024-08-24,Tottenham,Everton,1.44,4.95,6.75,0.6944444444444444,0.20202020202020202,0.14814814814814814,0.6647864625302176,0.19339242546333602,0.14182111200644643
E0,2024-08-24,Aston Villa,Arsenal,4.41,3.92,1.78,0.22675736961451246,0.25510204081632654,0.5617977528089888,0.2172718950259383,0.2444308819041806,0.5382972230698809
E0,2024-08-25,Bournemouth,Newcastle,2.99,3.8,2.25,0.33444816053511706,0.2631578947368421,0.4444444444444444,0.3209519698192534,0.2525385236209388,0.4265095065598078
E0,2024-08-25,Wolves,Chelsea,4.37,4.0,1.77,0.22883295194508008,0.25,0.5649717514124294,0.21922966164936256,0.23950840535192863,0.5412619329987087
E0,2024-08-25,Liverpool,Brentford,1.25,6.78,10.37,0.8,0.14749262536873156,0.09643201542912247,0.7663388416510348,0.14128665959642972,0.09237449875253553
E0,2024-08-31,Arsenal,Brighton,1.35,5.66,8.11,0.7407407407407407,0.17667844522968199,0.12330456226880396,0.7117553932962332,0.16976497896641604,0.1184796277373508
E0,2024-08-31,Brentford,Southampton,1.77,3.97,4.46,0.5649717514124294,0.2518891687657431,0.2242152466367713,0.5426805160095993,0.24195075902694982,0.21536872496345086
E0,2024-08-31,Everton,Bournemouth,2.78,3.4,2.59,0.3597122302158274,0.29411764705882354,0.3861003861003861,0.34590033859424474,0.2828243944976471,0.3712752669081082
E0,2024-08-31,Ipswich,Fulham,3.1,3.5,2.31,0.3225806451612903,0.2857142857142857,0.4329004329004329,0.3098175965665236,0.2744098712446352,0.4157725321888412
E0,2024-08-31,Leicester,Aston Villa,4.62,4.02,1.74,0.21645021645021645,0.24875621890547267,0.5747126436781609,0.20814140332083558,0.23920728441349765,0.5526513122656669
E0,2024-08-31,Nottingham Forest,Wolves,2.03,3.66,3.65,0.4926108374384237,0.27322404371584696,0.273972602739726,0.4737519637708657,0.26276406733739266,0.2634839688917417
E0,2024-08-31,West Ham,Man City,7.57,5.49,1.38,0.1321003963011889,0.18214936247723132,0.7246376811594204,0.12715563902581475,0.17533118168040396,0.6975131792937812
E0,2024-09-01,Chelsea,Crystal Palace,1.63,4.4,5.01,0.6134969325153374,0.22727272727272727,0.1996007984031936,0.5896908429925393,0.21845365319950885,0.1918555038079519
E0,2024-09-01,Newcastle,Tottenham,2.51,3.97,2.56,0.39840637450199207,0.2518891687657431,0.390625,0.38274427100005654,0.24198693204285687,0.37526879695708665
E0,2024-09-01,Man United,Liverpool,3.82,4.2,1.85,0.2617801047120419,0.23809523809523808,0.5405405405405405,0.25161102295910104,0.2288462161199443,0.5195427609209545
E0,2024-09-14,Southampton,Man United,4.56,4.04,1.74,0.2192982456140351,0.24752475247524752,0.5747126436781609,0.21055279994249157,0.23765365538063404,0.5517935446768744
E0,2024-09-14,Brighton,Ipswich,1.38,5.16,7.89,0.7246376811594204,0.19379844961240308,0.1267427122940431,0.6933145326916593,0.18542132851056,0.1212641387977807
E0,2024-09-14,Crystal Palace,Leicester,1.63,4.14,5.38,0.6134969325153374,0.24154589371980678,0.1858736059479554,0.5893815425976693,0.23205118706140124,0.17856727034092956
E0,2024-09-14,Fulham,West Ham,2.42,3.48,2.92,0.4132231404958678,0.28735632183908044,0.3424657534246575,0.39616992077849167,0.27549747364481314,0.32833260557669514
E0,2024-09-14,Liverpool,Nottingham Forest,1.22,7.03,12.4,0.819672131147541,0.14224751066856328,0.08064516129032258,0.7862073692735889,0.13643997020110646,0.07735266052530472
E0,2024-09-14,Man City,Brentford,1.17,8.2,14.79,0.8547008547008548,0.12195121951219513,0.0676132521974307,0.8184709700539154,0.11678183353208306,0.06474719641400142
E0,2024-09-14,Aston Villa,Everton,1.51,4.48,6.34,0.6622516556291391,0.2232142857142857,0.15772870662460567,0.6348303808106139,0.21397184710357742,0.15119777208580865
E0,2024-09-14,Bournemouth,Chelsea,3.33,3.96,2.05,0.3003003003003003,0.25252525252525254,0.48780487804878053,0.28857535911955723,0.24266564289599132,0.46875899798445153
E0,2024-09-15,Tottenham,Arsenal,2.99,3.59,2.33,0.33444816053511706,0.2785515320334262,0.4291845493562232,0.3209107824519,0.26727666839308667,0.4118125491550133
