Division,match_date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,season,p_home_implied,p_draw_implied,p_away_implied,pnorm_home_win,pnorm_draw,pnorm_away_win
E0,2016-08-13,Burnley,Swansea,2.4,3.3,3.25,2016/17,0.4166666666666667,0.30303030303030304,0.3076923076923077,0.4055587067498582,0.2949517867271696,0.29948950652297224
E0,2016-08-13,Crystal Palace,West Brom,2.0,3.3,4.5,2016/17,0.5,0.30303030303030304,0.2222222222222222,0.4876847290640395,0.29556650246305427,0.21674876847290642
E0,2016-08-13,Everton,Tottenham,3.2,3.4,2.4,2016/17,0.3125,0.29411764705882354,0.4166666666666667,0.3053892215568862,0.2874251497005988,0.40718562874251496
E0,2016-08-13,Hull,Leicester,4.5,3.6,1.91,2016/17,0.2222222222222222,0.2777777777777778,0.5235602094240838,0.21710713270815574,0.2713839158851947,0.5115089514066496
E0,2016-08-13,Man City,Sunderland,1.25,6.5,15.0,2016/17,0.8,0.15384615384615385,0.06666666666666667,0.7839195979899497,0.1507537688442211,0.06532663316582914
E0,2016-08-13,Middlesbrough,Stoke,2.38,3.2,3.4,2016/17,0.42016806722689076,0.3125,0.29411764705882354,0.40920716112531963,0.3043478260869565,0.2864450127877238
E0,2016-08-13,Southampton,Watford,1.8,3.75,5.0,2016/17,0.5555555555555556,0.26666666666666666,0.2,0.5434782608695653,0.2608695652173913,0.19565217391304351
E0,2016-08-14,Arsenal,Liverpool,2.4,3.5,3.1,2016/17,0.4166666666666667,0.2857142857142857,0.3225806451612903,0.40651929561633576,0.2787560884226302,0.3147246159610341
E0,2016-08-14,Bournemouth,Man United,4.75,3.6,1.85,2016/17,0.21052631578947367,0.2777777777777778,0.5405405405405405,0.20462401106075737,0.26999001459405486,0.5253859743451877
E0,2016-08-15,Chelsea,West Ham,1.65,4.0,6.0,2016/17,0.6060606060606061,0.25,0.16666666666666666,0.5925925925925927,0.24444444444444444,0.16296296296296295
E0,2016-08-19,Man United,Southampton,1.53,4.2,7.5,2016/17,0.6535947712418301,0.23809523809523808,0.13333333333333333,0.6376389141920205,0.23228274731280743,0.13007833849517217
E0,2016-08-20,Burnley,Liverpool,6.5,4.2,1.57,2016/17,0.15384615384615385,0.23809523809523808,0.6369426751592356,0.149527200163269,0.23141114310982105,0.6190616567269098
E0,2016-08-20,Leicester,Arsenal,2.88,3.6,2.5,2016/17,0.3472222222222222,0.2777777777777778,0.4,0.33875338753387535,0.2710027100271003,0.39024390243902446
E0,2016-08-20,Stoke,Man City,5.5,3.8,1.73,2016/17,0.18181818181818182,0.2631578947368421,0.5780346820809249,0.1777285138825056,0.2572386385141528,0.5650328476033415
